"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 20
"c:\laragon\www\laravelshare\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 39
"c:\laragon\www\laravelshare\app\Providers\RouteServiceProvider.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 49
"c:\laragon\www\laravelshare\app\Services\ActivityLogService.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 91
"c:\laragon\www\laravelshare\app\Services\FileSecurityService.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 31, 189
"c:\laragon\www\laravelshare\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\laravelshare\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\laravelshare\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\laragon\www\laravelshare\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 70
"c:\laragon\www\laravelshare\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 0, 8181, 0, 0, 0, 0, 0, 1, 8182
"c:\laragon\www\laravelshare\config\app.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 34, 216
"c:\laragon\www\laravelshare\config\auth.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 16, 128
"c:\laragon\www\laravelshare\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\laragon\www\laravelshare\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\laragon\www\laravelshare\config\cors.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\laragon\www\laravelshare\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\laragon\www\laravelshare\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\laragon\www\laravelshare\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\laragon\www\laravelshare\config\logging.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\laragon\www\laravelshare\config\mail.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 19, 125
"c:\laragon\www\laravelshare\config\queue.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\laragon\www\laravelshare\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\laragon\www\laravelshare\config\security.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 91
"c:\laragon\www\laravelshare\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\laragon\www\laravelshare\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\laragon\www\laravelshare\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\laravelshare\database\factories\UserFactory.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 41
"c:\laragon\www\laravelshare\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\laravelshare\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\laragon\www\laravelshare\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\laravelshare\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"c:\laragon\www\laravelshare\database\migrations\2025_07_16_074956_create_files_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 37
"c:\laragon\www\laravelshare\database\migrations\2025_07_16_080427_add_user_id_to_files_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\laragon\www\laravelshare\database\migrations\2025_07_16_090001_create_activity_logs_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
