"filename", "language", "PHP", "JavaScript", "Markdown", "XML", "JSON", "Batch", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\resources\views\components\auth-session-status.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\laragon\www\laravelshare\resources\views\components\danger-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\laravelshare\resources\views\components\dropdown.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\laragon\www\laravelshare\resources\views\components\input-error.blade.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\laragon\www\laravelshare\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\laragon\www\laravelshare\resources\views\components\modal.blade.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 2, 4, 79
"c:\laragon\www\laravelshare\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\laragon\www\laravelshare\resources\views\components\primary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\laragon\www\laravelshare\resources\views\components\secondary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\text-input.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\laragon\www\laravelshare\resources\views\dashboard.blade.php", "PHP", 209, 0, 0, 0, 0, 0, 0, 0, 13, 222
"c:\laragon\www\laravelshare\resources\views\download-password.blade.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 11, 100
"c:\laragon\www\laravelshare\resources\views\errors\404.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\laragon\www\laravelshare\resources\views\layout.blade.php", "PHP", 531, 0, 0, 0, 0, 0, 0, 8, 36, 575
"c:\laragon\www\laravelshare\resources\views\layouts\app.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\laragon\www\laravelshare\resources\views\layouts\guest.blade.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\laragon\www\laravelshare\resources\views\layouts\navigation.blade.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 13, 101
"c:\laragon\www\laravelshare\resources\views\profile\edit.blade.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 6, 77
"c:\laragon\www\laravelshare\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 0, 8, 94
"c:\laragon\www\laravelshare\resources\views\profile\partials\update-password-form.blade.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 7, 96
"c:\laragon\www\laravelshare\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\laragon\www\laravelshare\resources\views\security-dashboard.blade.php", "PHP", 186, 0, 0, 0, 0, 0, 0, 0, 9, 195
"c:\laragon\www\laravelshare\resources\views\upload-success.blade.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 8, 15, 171
"c:\laragon\www\laravelshare\resources\views\upload.blade.php", "PHP", 479, 0, 0, 0, 0, 0, 0, 26, 58, 563
"c:\laragon\www\laravelshare\resources\views\upload_backup.blade.php", "PHP", 400, 0, 0, 0, 0, 0, 0, 0, 19, 419
"c:\laragon\www\laravelshare\resources\views\upload_new.blade.php", "PHP", 402, 0, 0, 0, 0, 0, 0, 0, 19, 421
"c:\laragon\www\laravelshare\resources\views\welcome.blade.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 0, 23, 141
"c:\laragon\www\laravelshare\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\laravelshare\routes\auth.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 17, 60
"c:\laragon\www\laravelshare\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\laragon\www\laravelshare\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\laravelshare\routes\web.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 14, 16, 90
"c:\laragon\www\laravelshare\scheduler.bat", "Batch", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\laragon\www\laravelshare\tailwind.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"c:\laragon\www\laravelshare\tests\CreatesApplication.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\laragon\www\laravelshare\tests\Feature\Auth\AuthenticationTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 15, 56
"c:\laragon\www\laravelshare\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 16, 66
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 13, 45
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordResetTest.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 22, 74
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\laragon\www\laravelshare\tests\Feature\Auth\RegistrationTest.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\laragon\www\laravelshare\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\laragon\www\laravelshare\tests\Feature\ProfileTest.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 24, 100
"c:\laragon\www\laravelshare\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\laravelshare\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\laragon\www\laravelshare\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 8309, 43, 291, 29, 10592, 3, 3, 1417, 1523, 22210
